llmModel,iteration,score
gemma4:e2b,0,0
gemma4:e2b,1,0
gemma4:e2b,2,100
gemma4:e2b,3,0
gemma4:e2b,4,25
gemma4:e2b,5,100
gemma4:e2b,6,100
gemma4:e2b,7,90
gemma4:e2b,8,100
gemma4:e2b,9,0
gemma4:e2b,10,100
gemma4:e2b,11,0
gemma4:e2b,12,90
gemma4:e2b,13,100
gemma4:e2b,14,100
gemma4:e2b,15,100
gemma4:e2b,16,100
gemma4:e2b,17,100
gemma4:e2b,18,0
gemma4:e2b,19,0
gemma4:e2b,20,0
gemma4:e2b,21,0
gemma4:e2b,22,40
gemma4:e2b,23,80
gemma4:e2b,24,75
gemma4:e2b,25,100
gemma4:e2b,26,100
gemma4:e2b,27,100
gemma4:e2b,28,0
gemma4:e2b,29,100
gemma4:e2b,30,100
gemma4:e2b,31,100
gemma4:e2b,32,100
gemma4:e2b,33,0
gemma4:e2b,34,93
gemma4:e2b,35,15
gemma4:e2b,36,100
gemma4:e2b,37,0
gemma4:e2b,38,100
gemma4:e2b,39,100
gemma4:e2b,40,100
gemma4:e2b,41,100
gemma4:e2b,42,55
gemma4:e2b,43,100
gemma4:e2b,44,100
gemma4:e2b,45,100
gemma4:e2b,46,100
gemma4:e2b,47,100
gemma4:e2b,48,60
gemma4:e2b,49,80
gemma4:e2b,50,100
gemma4:e2b,51,100
gemma4:e2b,52,0
gemma4:e2b,53,100
gemma4:e2b,54,0
gemma4:e2b,55,100
gemma4:e2b,56,50
gemma4:e2b,57,100
gemma4:e2b,58,70
gemma4:e2b,59,100
gemma4:e2b,60,35
gemma4:e2b,61,20
gemma4:e2b,62,50
gemma4:e2b,63,96
gemma4:e2b,64,100
gemma4:e2b,65,50
gemma4:e2b,66,0
gemma4:e2b,67,100
gemma4:e2b,68,100
gemma4:e2b,69,0
gemma4:e2b,70,100
gemma4:e2b,71,100
gemma4:e2b,72,100
gemma4:e2b,73,100
gemma4:e2b,75,100
gemma4:e2b,76,100
gemma4:e2b,77,100
gemma4:e2b,78,100
gemma4:e2b,79,100
gemma4:e2b,80,100
gemma4:e2b,81,100
gemma4:e2b,82,90
gemma4:e2b,83,100
gemma4:e2b,84,0
gemma4:e2b,85,100
gemma4:e2b,86,100
gemma4:e2b,87,100
gemma4:e2b,88,100
gemma4:e2b,89,100
gemma4:e2b,90,15
gemma4:e2b,91,100
gemma4:e2b,92,0
gemma4:e2b,93,100
gemma4:e2b,94,100
gemma4:e2b,95,95
gemma4:e2b,96,100
gemma4:e2b,97,100
gemma4:e2b,98,100
gemma4:e2b,99,85
gemma4:e2b,100,100
gemma4:e2b,101,100
gemma4:e2b,102,3
gemma4:e2b,103,100
gemma4:e2b,104,100
gemma4:e2b,105,100
gemma4:e2b,106,100
gemma4:e2b,107,100
gemma4:e2b,108,0
gemma4:e2b,109,100
gemma4:e2b,110,80
gemma4:e2b,111,65
gemma4:e2b,112,100
gemma4:e2b,113,100
gemma4:e2b,114,100
gemma4:e2b,115,95
gemma4:e2b,116,100
gemma4:e2b,117,25
gemma4:e2b,118,100
gemma4:e2b,119,100
gemma4:e2b,120,0
gemma4:e2b,121,100
gemma4:e2b,122,40
gemma4:e2b,123,100
gemma4:e2b,124,100
gemma4:e2b,125,100
gemma4:e2b,126,100
gemma4:e2b,127,45
gemma4:e2b,128,0
gemma4:e2b,129,100
gemma4:e2b,130,100
gemma4:e2b,131,100
gemma4:e2b,132,100
gemma4:e2b,133,100
gemma4:e2b,134,80
gemma4:e2b,135,100
gemma4:e2b,136,90
gemma4:e2b,137,0
gemma4:e2b,138,100
gemma4:e2b,139,100
gemma4:e2b,140,100
gemma4:e2b,141,25
gemma4:e2b,142,0
gemma4:e2b,143,100
gemma4:e2b,144,100
gemma4:e2b,145,100
gemma4:e2b,146,100
gemma4:e2b,147,100
gemma4:e2b,148,100
gemma4:e2b,149,100
gemma4:e2b,150,65
gemma4:e2b,151,0
gemma4:e2b,152,30
gemma4:e2b,153,0
gemma4:e2b,154,0
gemma4:e2b,155,100
gemma4:e2b,156,40
gemma4:e2b,157,100
gemma4:e2b,158,0
gemma4:e2b,159,0
gemma4:e2b,160,100
gemma4:e2b,161,35
gemma4:e2b,162,100
gemma4:e2b,163,85
gemma4:e2b,164,50
gemma4:e2b,165,100
gemma4:e2b,166,0
gemma4:e2b,167,Please provide the string.
gemma4:e2b,168,0
gemma4:e2b,169,100
gemma4:e2b,170,100
gemma4:e2b,171,100
gemma4:e2b,172,100
gemma4:e2b,173,100
gemma4:e2b,174,98
gemma4:e2b,175,100
gemma4:e2b,176,100
gemma4:e2b,177,0
gemma4:e2b,178,0
gemma4:e2b,179,0
gemma4:e2b,180,100
gemma4:e2b,181,0
gemma4:e2b,182,100
gemma4:e2b,183,0
gemma4:e2b,184,0
gemma4:e2b,185,0
gemma4:e2b,186,50
gemma4:e2b,187,75
gemma4:e2b,188,100
gemma4:e2b,189,70
gemma4:e2b,190,0
gemma4:e2b,191,20
gemma4:e2b,192,100
gemma4:e2b,193,100
gemma4:e2b,194,100
gemma4:e2b,195,57
gemma4:e2b,196,100
gemma4:e2b,197,100
gemma4:e2b,198,20
gemma4:e2b,199,70
gemma4:e2b,200,0
gemma4:e2b,201,50
gemma4:e2b,202,100
gemma4:e2b,203,100
gemma4:e2b,204,0
gemma4:e2b,205,100
gemma4:e2b,206,100
gemma4:e2b,207,100
gemma4:e2b,208,70
gemma4:e2b,209,0
gemma4:e2b,210,100
gemma4:e2b,211,100
gemma4:e2b,212,100
gemma4:e2b,213,100
gemma4:e2b,214,0
gemma4:e2b,215,100
gemma4:e2b,216,0
gemma4:e2b,217,
gemma4:e2b,218,35
