llmModel,iteration,finalScore
qwen2.5:3b,0,100
qwen2.5:3b,1,100
qwen2.5:3b,2,75
qwen2.5:3b,3,30
qwen2.5:3b,4,21
qwen2.5:3b,5,17
qwen2.5:3b,6,23
qwen2.5:3b,7,100
qwen2.5:3b,8,70
qwen2.5:3b,9,100
qwen2.5:3b,10,89
qwen2.5:3b,11,16
qwen2.5:3b,12,100
qwen2.5:3b,13,87
qwen2.5:3b,14,60
qwen2.5:3b,15,87
qwen2.5:3b,16,70
qwen2.5:3b,17,87
qwen2.5:3b,18,20
qwen2.5:3b,19,37
qwen2.5:3b,20,37
qwen2.5:3b,21,47
qwen2.5:3b,22,37
qwen2.5:3b,23,20
qwen2.5:3b,24,20
qwen2.5:3b,25,37
qwen2.5:3b,26,30
qwen2.5:3b,27,60
qwen2.5:3b,28,42
qwen2.5:3b,29,40
qwen2.5:3b,30,87
qwen2.5:3b,31,75
qwen2.5:3b,32,87
qwen2.5:3b,33,100
qwen2.5:3b,34,70
qwen2.5:3b,35,47
qwen2.5:3b,36,84
qwen2.5:3b,37,70
qwen2.5:3b,38,80
qwen2.5:3b,39,100
qwen2.5:3b,40,37
qwen2.5:3b,41,37
qwen2.5:3b,42,19
qwen2.5:3b,43,100
qwen2.5:3b,44,100
qwen2.5:3b,45,100
qwen2.5:3b,46,24
qwen2.5:3b,47,100
qwen2.5:3b,48,27
qwen2.5:3b,49,40
qwen2.5:3b,50,85
qwen2.5:3b,51,45
qwen2.5:3b,52,100
qwen2.5:3b,53,100
qwen2.5:3b,54,100
qwen2.5:3b,55,100
qwen2.5:3b,56,20
qwen2.5:3b,57,70
qwen2.5:3b,58,100
qwen2.5:3b,59,100
qwen2.5:3b,60,90
qwen2.5:3b,61,17
qwen2.5:3b,62,14
qwen2.5:3b,63,100
qwen2.5:3b,64,83
qwen2.5:3b,65,15
qwen2.5:3b,66,80
qwen2.5:3b,67,50
qwen2.5:3b,68,30
qwen2.5:3b,69,80
qwen2.5:3b,70,100
qwen2.5:3b,71,50
qwen2.5:3b,72,0
qwen2.5:3b,73,37
qwen2.5:3b,74,67
qwen2.5:3b,75,60
qwen2.5:3b,76,100
qwen2.5:3b,77,20
qwen2.5:3b,78,16
qwen2.5:3b,79,100
qwen2.5:3b,80,87
qwen2.5:3b,81,80
qwen2.5:3b,82,100
qwen2.5:3b,83,21
qwen2.5:3b,84,30
qwen2.5:3b,85,20
qwen2.5:3b,86,100
qwen2.5:3b,87,27
qwen2.5:3b,88,37
qwen2.5:3b,89,70
qwen2.5:3b,90,16
qwen2.5:3b,91,100
qwen2.5:3b,92,0
qwen2.5:3b,93,70
qwen2.5:3b,94,90
qwen2.5:3b,95,100
qwen2.5:3b,96,100
qwen2.5:3b,97,100
qwen2.5:3b,98,57
qwen2.5:3b,99,70
qwen2.5:3b,100,40
qwen2.5:3b,101,89
qwen2.5:3b,102,70
qwen2.5:3b,103,67
qwen2.5:3b,104,37
qwen2.5:3b,105,37
qwen2.5:3b,106,70
qwen2.5:3b,107,100
qwen2.5:3b,108,100
qwen2.5:3b,109,82
qwen2.5:3b,110,57
qwen2.5:3b,111,50
qwen2.5:3b,112,30
qwen2.5:3b,113,10
qwen2.5:3b,114,50
qwen2.5:3b,115,20
qwen2.5:3b,116,100
qwen2.5:3b,117,100
qwen2.5:3b,118,81
qwen2.5:3b,119,100
qwen2.5:3b,120,100
qwen2.5:3b,121,100
qwen2.5:3b,122,100
qwen2.5:3b,123,87
qwen2.5:3b,124,100
qwen2.5:3b,125,16
qwen2.5:3b,126,100
qwen2.5:3b,127,21
qwen2.5:3b,128,30
qwen2.5:3b,129,16
qwen2.5:3b,130,1
qwen2.5:3b,131,100
qwen2.5:3b,132,85
qwen2.5:3b,133,90
qwen2.5:3b,134,100
qwen2.5:3b,135,16
qwen2.5:3b,136,16
qwen2.5:3b,137,100
qwen2.5:3b,138,77
qwen2.5:3b,139,87
qwen2.5:3b,140,32
qwen2.5:3b,141,14
qwen2.5:3b,142,90
qwen2.5:3b,143,16
qwen2.5:3b,144,70
qwen2.5:3b,145,47
qwen2.5:3b,146,100
