llmModel,iteration,finalScore
llama3.2:3b,0,89
llama3.2:3b,1,0
llama3.2:3b,2,48
llama3.2:3b,3,24
llama3.2:3b,4,83
llama3.2:3b,5,47
llama3.2:3b,6,90
llama3.2:3b,7,33
llama3.2:3b,8,83
llama3.2:3b,9,14
llama3.2:3b,10,83
llama3.2:3b,11,23
llama3.2:3b,12,70
llama3.2:3b,13,73
llama3.2:3b,14,85
llama3.2:3b,15,84
llama3.2:3b,16,83
llama3.2:3b,17,87
llama3.2:3b,18,90
llama3.2:3b,19,20
llama3.2:3b,20,47
llama3.2:3b,21,80
llama3.2:3b,22,80
llama3.2:3b,23,75
llama3.2:3b,24,20
llama3.2:3b,25,80
llama3.2:3b,26,85
llama3.2:3b,27,87
llama3.2:3b,28,0
llama3.2:3b,29,87
llama3.2:3b,30,83
llama3.2:3b,31,80
llama3.2:3b,32,67
llama3.2:3b,33,13
llama3.2:3b,34,83
llama3.2:3b,35,100
llama3.2:3b,36,85
llama3.2:3b,37,89
llama3.2:3b,38,50
llama3.2:3b,39,100
llama3.2:3b,40,83
llama3.2:3b,41,100
llama3.2:3b,42,83
llama3.2:3b,43,70
llama3.2:3b,44,88
llama3.2:3b,45,87
llama3.2:3b,46,95
llama3.2:3b,47,89
llama3.2:3b,48,90
llama3.2:3b,49,57
llama3.2:3b,50,90
llama3.2:3b,51,83
llama3.2:3b,52,83
llama3.2:3b,53,88
llama3.2:3b,54,100
llama3.2:3b,55,34
llama3.2:3b,56,98
llama3.2:3b,57,81
llama3.2:3b,58,80
llama3.2:3b,59,12
llama3.2:3b,60,80
llama3.2:3b,61,72
llama3.2:3b,62,80
llama3.2:3b,63,83
llama3.2:3b,64,89
llama3.2:3b,65,90
llama3.2:3b,66,85
llama3.2:3b,67,72
llama3.2:3b,68,80
llama3.2:3b,69,48
llama3.2:3b,70,85
llama3.2:3b,71,0
llama3.2:3b,72,74
llama3.2:3b,73,87
llama3.2:3b,74,85
llama3.2:3b,75,80
llama3.2:3b,76,90
llama3.2:3b,77,80
llama3.2:3b,78,22
llama3.2:3b,79,30
llama3.2:3b,80,90
llama3.2:3b,81,29
llama3.2:3b,82,90
llama3.2:3b,83,83
llama3.2:3b,84,80
llama3.2:3b,85,72
llama3.2:3b,86,42
llama3.2:3b,87,80
llama3.2:3b,88,84
llama3.2:3b,89,80
llama3.2:3b,90,97
llama3.2:3b,91,87
llama3.2:3b,92,43
llama3.2:3b,93,83
llama3.2:3b,94,37
llama3.2:3b,95,20
llama3.2:3b,96,79
llama3.2:3b,97,15
llama3.2:3b,98,85
llama3.2:3b,99,72
llama3.2:3b,100,30
llama3.2:3b,101,45
llama3.2:3b,102,80
llama3.2:3b,103,97
llama3.2:3b,104,72
llama3.2:3b,105,98
llama3.2:3b,106,90
llama3.2:3b,107,30
llama3.2:3b,108,86
llama3.2:3b,109,100
llama3.2:3b,110,70
llama3.2:3b,111,87
llama3.2:3b,112,86
llama3.2:3b,113,89
llama3.2:3b,114,89
llama3.2:3b,115,90
llama3.2:3b,116,70
llama3.2:3b,117,83
llama3.2:3b,118,32
llama3.2:3b,119,100
llama3.2:3b,120,87
llama3.2:3b,121,30
llama3.2:3b,122,20
llama3.2:3b,123,88
llama3.2:3b,124,87
llama3.2:3b,125,10
llama3.2:3b,126,83
llama3.2:3b,127,30
llama3.2:3b,128,25
llama3.2:3b,129,100
llama3.2:3b,130,0
llama3.2:3b,131,15
llama3.2:3b,132,32
llama3.2:3b,133,100
llama3.2:3b,134,97
llama3.2:3b,135,0
llama3.2:3b,136,87
llama3.2:3b,137,100
llama3.2:3b,138,87
llama3.2:3b,139,100
llama3.2:3b,140,100
llama3.2:3b,141,15
llama3.2:3b,142,100
llama3.2:3b,143,80
llama3.2:3b,144,30
llama3.2:3b,145,90
llama3.2:3b,146,45
llama3.2:3b,147,24
llama3.2:3b,148,22
llama3.2:3b,149,86
llama3.2:3b,150,0
llama3.2:3b,151,33
llama3.2:3b,152,90
llama3.2:3b,153,58
llama3.2:3b,154,0
llama3.2:3b,155,83
llama3.2:3b,156,20
llama3.2:3b,157,99
llama3.2:3b,158,12
llama3.2:3b,159,87
llama3.2:3b,160,48
llama3.2:3b,161,100
llama3.2:3b,162,40
llama3.2:3b,163,84
llama3.2:3b,164,100
llama3.2:3b,165,20
llama3.2:3b,166,100
llama3.2:3b,167,100
llama3.2:3b,168,89
llama3.2:3b,169,23
llama3.2:3b,170,84
llama3.2:3b,171,29
llama3.2:3b,172,90
llama3.2:3b,173,99
llama3.2:3b,174,30
llama3.2:3b,175,100
llama3.2:3b,176,87
llama3.2:3b,177,85
llama3.2:3b,178,90
llama3.2:3b,179,20
llama3.2:3b,180,95
llama3.2:3b,181,84
llama3.2:3b,182,68
llama3.2:3b,183,80
llama3.2:3b,184,83
llama3.2:3b,185,90
llama3.2:3b,186,30
llama3.2:3b,187,100
llama3.2:3b,188,97
llama3.2:3b,189,83
llama3.2:3b,190,97
llama3.2:3b,191,90
llama3.2:3b,192,0
llama3.2:3b,193,20
llama3.2:3b,194,12
llama3.2:3b,195,95
llama3.2:3b,196,10
llama3.2:3b,197,100
llama3.2:3b,198,100
llama3.2:3b,199,71
llama3.2:3b,200,88
llama3.2:3b,201,45
llama3.2:3b,202,100
llama3.2:3b,203,0
llama3.2:3b,204,72
llama3.2:3b,205,85
llama3.2:3b,206,84
llama3.2:3b,207,14
llama3.2:3b,208,80
llama3.2:3b,209,50
llama3.2:3b,210,100
llama3.2:3b,211,80
llama3.2:3b,212,80
llama3.2:3b,213,87
llama3.2:3b,214,12
llama3.2:3b,215,87
llama3.2:3b,216,89
llama3.2:3b,217,92
llama3.2:3b,218,90
llama3.2:3b,219,0
llama3.2:3b,220,87
llama3.2:3b,221,84
llama3.2:3b,222,82
llama3.2:3b,223,40
llama3.2:3b,224,10
llama3.2:3b,225,100
llama3.2:3b,226,93
llama3.2:3b,227,83
llama3.2:3b,228,99
llama3.2:3b,229,72
llama3.2:3b,230,0
llama3.2:3b,231,84
llama3.2:3b,232,30
llama3.2:3b,233,90
llama3.2:3b,234,100
llama3.2:3b,235,80
llama3.2:3b,236,98
llama3.2:3b,237,20
llama3.2:3b,238,100
llama3.2:3b,239,30
llama3.2:3b,240,98
llama3.2:3b,241,80
llama3.2:3b,242,83
llama3.2:3b,243,89
llama3.2:3b,244,80
llama3.2:3b,245,90
llama3.2:3b,246,100
llama3.2:3b,247,85
llama3.2:3b,248,43
llama3.2:3b,249,99
llama3.2:3b,250,100
llama3.2:3b,251,45
llama3.2:3b,252,74
llama3.2:3b,253,20
llama3.2:3b,254,100
llama3.2:3b,255,83
llama3.2:3b,256,84
llama3.2:3b,257,80
llama3.2:3b,258,0
llama3.2:3b,259,100
llama3.2:3b,260,100
llama3.2:3b,261,97
llama3.2:3b,262,30
llama3.2:3b,263,90
llama3.2:3b,264,83
llama3.2:3b,265,87
llama3.2:3b,266,91
llama3.2:3b,267,30
llama3.2:3b,268,70
llama3.2:3b,269,83
llama3.2:3b,270,80
llama3.2:3b,271,80
llama3.2:3b,272,80
llama3.2:3b,273,0
llama3.2:3b,274,80
llama3.2:3b,275,100
llama3.2:3b,276,0
llama3.2:3b,277,98
llama3.2:3b,278,95
llama3.2:3b,279,83
llama3.2:3b,280,84
llama3.2:3b,281,79
llama3.2:3b,282,89
llama3.2:3b,283,68
llama3.2:3b,284,81
llama3.2:3b,285,98
llama3.2:3b,286,90
llama3.2:3b,287,80
llama3.2:3b,288,30
llama3.2:3b,289,83
llama3.2:3b,290,100
llama3.2:3b,291,80
llama3.2:3b,292,72
llama3.2:3b,293,83
llama3.2:3b,294,84
llama3.2:3b,295,14
llama3.2:3b,296,86
llama3.2:3b,297,12
llama3.2:3b,298,88
llama3.2:3b,299,0
llama3.2:3b,300,100
llama3.2:3b,301,25
llama3.2:3b,302,34
llama3.2:3b,303,0
llama3.2:3b,304,10
llama3.2:3b,305,89
llama3.2:3b,306,89
llama3.2:3b,307,87
llama3.2:3b,308,83
llama3.2:3b,309,70
llama3.2:3b,310,71
llama3.2:3b,311,97
llama3.2:3b,312,20
llama3.2:3b,313,80
llama3.2:3b,314,14
llama3.2:3b,315,0
llama3.2:3b,316,76
llama3.2:3b,317,30
llama3.2:3b,318,30
llama3.2:3b,319,90
llama3.2:3b,320,83
llama3.2:3b,321,80
llama3.2:3b,322,65
llama3.2:3b,323,45
llama3.2:3b,324,80
llama3.2:3b,325,100
llama3.2:3b,326,100
llama3.2:3b,327,72
llama3.2:3b,328,100
llama3.2:3b,329,85
llama3.2:3b,330,83
llama3.2:3b,331,72
llama3.2:3b,332,100
llama3.2:3b,333,99
llama3.2:3b,334,14
llama3.2:3b,335,80
llama3.2:3b,336,83
llama3.2:3b,337,89
llama3.2:3b,338,84
llama3.2:3b,339,100
llama3.2:3b,340,85
llama3.2:3b,341,99
llama3.2:3b,342,90
llama3.2:3b,343,89
llama3.2:3b,344,90
llama3.2:3b,345,83
llama3.2:3b,346,19
llama3.2:3b,347,88
llama3.2:3b,348,70
llama3.2:3b,349,14
llama3.2:3b,350,33
llama3.2:3b,351,83
llama3.2:3b,352,80
llama3.2:3b,353,88
llama3.2:3b,354,97
llama3.2:3b,355,80
llama3.2:3b,356,40
llama3.2:3b,357,35
llama3.2:3b,358,84
llama3.2:3b,359,92
llama3.2:3b,360,100
llama3.2:3b,361,90
llama3.2:3b,362,83
llama3.2:3b,363,90
llama3.2:3b,364,100
llama3.2:3b,365,30
llama3.2:3b,366,32
llama3.2:3b,367,100
llama3.2:3b,368,68
llama3.2:3b,369,34
llama3.2:3b,370,97
llama3.2:3b,371,32
llama3.2:3b,372,82
llama3.2:3b,373,12
llama3.2:3b,374,10
llama3.2:3b,375,20
llama3.2:3b,376,14
llama3.2:3b,377,70
llama3.2:3b,378,70
llama3.2:3b,379,60
llama3.2:3b,380,99
llama3.2:3b,381,33
llama3.2:3b,382,100
llama3.2:3b,383,83
llama3.2:3b,384,85
llama3.2:3b,385,70
llama3.2:3b,386,85
llama3.2:3b,387,0
llama3.2:3b,388,91
