llmModel,iteration,score
qwen2.5:3b,0,100
qwen2.5:3b,1,123
qwen2.5:3b,2,75
qwen2.5:3b,3,30
qwen2.5:3b,4,21
qwen2.5:3b,5,17
qwen2.5:3b,6,23
qwen2.5:3b,7,130
qwen2.5:3b,8,70
qwen2.5:3b,9,123
qwen2.5:3b,10,89
qwen2.5:3b,11,16
qwen2.5:3b,12,107
qwen2.5:3b,13,87
qwen2.5:3b,14,60
qwen2.5:3b,15,87
qwen2.5:3b,16,70
qwen2.5:3b,17,87
qwen2.5:3b,18,20
qwen2.5:3b,19,37
qwen2.5:3b,20,37
qwen2.5:3b,21,47
qwen2.5:3b,22,37
qwen2.5:3b,23,20
qwen2.5:3b,24,20
qwen2.5:3b,25,37
qwen2.5:3b,26,30
qwen2.5:3b,27,60
qwen2.5:3b,28,42
qwen2.5:3b,29,40
qwen2.5:3b,30,87
qwen2.5:3b,31,75
qwen2.5:3b,32,87
qwen2.5:3b,33,123
qwen2.5:3b,34,70
qwen2.5:3b,35,47
qwen2.5:3b,36,84
qwen2.5:3b,37,70
qwen2.5:3b,38,80
qwen2.5:3b,39,100
qwen2.5:3b,40,37
qwen2.5:3b,41,37
qwen2.5:3b,42,19
qwen2.5:3b,43,140
qwen2.5:3b,44,100
qwen2.5:3b,45,170
qwen2.5:3b,46,24
qwen2.5:3b,47,142
qwen2.5:3b,48,27
qwen2.5:3b,49,40
qwen2.5:3b,50,85
qwen2.5:3b,51,45
qwen2.5:3b,52,100
qwen2.5:3b,53,140
qwen2.5:3b,54,1234567890
qwen2.5:3b,55,123
qwen2.5:3b,56,20
qwen2.5:3b,57,70
qwen2.5:3b,58,100
qwen2.5:3b,59,120
qwen2.5:3b,60,90
qwen2.5:3b,61,17
qwen2.5:3b,62,14
qwen2.5:3b,63,120
qwen2.5:3b,64,83
qwen2.5:3b,65,15
qwen2.5:3b,66,80
qwen2.5:3b,67,50
qwen2.5:3b,68,30
qwen2.5:3b,69,80
qwen2.5:3b,70,100
qwen2.5:3b,71,50
